"# Exp #1 — PMC supervised, τ=0.16, margins=gamma, pair margins f_ij (Table 1, s read as a variance), reps=30, N=2000"
sim/est,c0,c1,c2,c3,c4,c5,c6
c0,8.01 (0.7),8.50 (0.8),8.63 (0.8),8.29 (0.8),8.42 (0.7),8.55 (0.7),8.77 (0.8)
c1,10.63 (0.8),10.02 (0.7),10.47 (0.8),10.18 (0.7),10.12 (0.7),10.21 (0.7),10.29 (0.7)
c2,10.64 (1.1),10.50 (1.3),10.00 (1.2),10.35 (1.3),10.63 (1.1),10.88 (1.2),10.38 (1.1)
c3,10.87 (1.1),10.54 (1.1),10.80 (1.1),10.43 (1.0),10.59 (1.1),10.68 (1.1),10.97 (1.1)
c4,10.54 (1.1),10.12 (1.0),10.79 (1.1),10.40 (1.1),10.02 (1.0),10.07 (1.1),10.37 (1.0)
c5,10.37 (0.9),9.98 (0.9),10.64 (1.0),10.20 (0.9),9.89 (1.0),9.85 (0.9),10.23 (1.0)
c6,10.20 (0.9),9.54 (0.9),9.75 (0.8),9.88 (0.9),9.55 (0.9),9.65 (1.0),9.38 (0.9)
